Brand,Model,Year,Selling_Price
Maruti,Maruti 800 AC,2007,60000
Maruti,Maruti Wagon R LXI Minor,2007,135000
Hyundai,Hyundai Verna 1.6 SX,2012,600000
Datsun,Datsun RediGO T Option,2017,250000
Honda,Honda Amaze VX i-DTEC,2014,450000
Maruti,Maruti Alto LX BSIII,2007,140000
Hyundai,Hyundai Xcent 1.2 Kappa S,2016,550000
Tata,Tata Indigo Grand Petrol,2014,240000
Hyundai,Hyundai Creta 1.6 VTVT S,2015,850000
Maruti,Maruti Celerio Green VXI,2017,365000
Chevrolet,Chevrolet Sail 1.2 Base,2015,260000
Tata,Tata Indigo Grand Petrol,2014,250000
Toyota,Toyota Corolla Altis 1.8 VL CVT,2018,1650000
Maruti,Maruti 800 AC,2007,60000
Maruti,Maruti Wagon R LXI Minor,2007,135000
Hyundai,Hyundai Verna 1.6 SX,2012,600000
Datsun,Datsun RediGO T Option,2017,250000
Honda,Honda Amaze VX i-DTEC,2014,450000
Maruti,Maruti Alto LX BSIII,2007,140000
Hyundai,Hyundai Xcent 1.2 Kappa S,2016,550000
Tata,Tata Indigo Grand Petrol,2014,240000
Hyundai,Hyundai Creta 1.6 VTVT S,2015,850000
Maruti,Maruti Celerio Green VXI,2017,365000
Chevrolet,Chevrolet Sail 1.2 Base,2015,260000
Tata,Tata Indigo Grand Petrol,2014,250000
Toyota,Toyota Corolla Altis 1.8 VL CVT,2018,1650000
Maruti,Maruti Ciaz VXi Plus,2015,585000
Hyundai,Hyundai Venue SX Opt Diesel,2019,1195000
Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000
Jaguar,Jaguar XF 2.2 Litre Luxury,2014,1964999
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000
Maruti,Maruti Vitara Brezza ZDi Plus AMT,2018,975000
Audi,Audi Q5 2.0 TDI,2011,1190000
Honda,Honda City V MT,2018,930000
Tata,Tata Tigor 1.2 Revotron XT,2018,525000
Audi,Audi A6 2.0 TDI  Design Edition,2013,1735000
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000
Skoda,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000
Toyota,Toyota Corolla Altis G AT,2016,900000
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000
Jeep,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000
Mercedes-Benz,Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000
Hyundai,Hyundai i10 Magna 1.1L,2014,229999
BMW,BMW 3 Series 320d Sport Line,2013,1550000
Audi,Audi Q7 35 TDI Quattro Premium,2009,1250000
Hyundai,Hyundai Elantra CRDi S,2012,625000
Mahindra,Mahindra Scorpio 1.99 S10,2014,1050000
Honda,Honda City i DTEC V,2014,560000
Maruti,Maruti Wagon R VXI BS IV with ABS,2014,290000
Maruti,Maruti Wagon R VXI BS IV,2012,275000
Mahindra,Mahindra Scorpio LX,2009,411000
Hyundai,Hyundai Santro Xing GLS,2009,150000
