Brand,Model,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,Maruti 800 AC,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI Minor,50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Verna 1.6 SX,100000,Diesel,Individual,Manual,First Owner
Datsun,Datsun RediGO T Option,46000,Petrol,Individual,Manual,First Owner
Honda,Honda Amaze VX i-DTEC,141000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Alto LX BSIII,125000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 Kappa S,25000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo Grand Petrol,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Creta 1.6 VTVT S,25000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Celerio Green VXI,78000,CNG,Individual,Manual,First Owner
Chevrolet,Chevrolet Sail 1.2 Base,35000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo Grand Petrol,100000,Petrol,Individual,Manual,First Owner
Toyota,Toyota Corolla Altis 1.8 VL CVT,25000,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti 800 AC,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI Minor,50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Verna 1.6 SX,100000,Diesel,Individual,Manual,First Owner
Datsun,Datsun RediGO T Option,46000,Petrol,Individual,Manual,First Owner
Honda,Honda Amaze VX i-DTEC,141000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Alto LX BSIII,125000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 Kappa S,25000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo Grand Petrol,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Creta 1.6 VTVT S,25000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Celerio Green VXI,78000,CNG,Individual,Manual,First Owner
Chevrolet,Chevrolet Sail 1.2 Base,35000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo Grand Petrol,100000,Petrol,Individual,Manual,First Owner
Toyota,Toyota Corolla Altis 1.8 VL CVT,25000,Petrol,Dealer,Automatic,First Owner
Maruti,Maruti Ciaz VXi Plus,24000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Venue SX Opt Diesel,5000,Diesel,Dealer,Manual,First Owner
Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater,33000,Diesel,Individual,Manual,Second Owner
Jaguar,Jaguar XF 2.2 Litre Luxury,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,59000,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti Vitara Brezza ZDi Plus AMT,4500,Diesel,Dealer,Automatic,First Owner
Audi,Audi Q5 2.0 TDI,175900,Diesel,Dealer,Automatic,First Owner
Honda,Honda City V MT,14500,Petrol,Dealer,Manual,First Owner
Tata,Tata Tigor 1.2 Revotron XT,15000,Petrol,Individual,Manual,First Owner
Audi,Audi A6 2.0 TDI  Design Edition,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Avantgarde,33800,Diesel,Dealer,Automatic,Second Owner
Skoda,Skoda Superb Ambition 2.0 TDI CR AT,130400,Diesel,Dealer,Automatic,Second Owner
Toyota,Toyota Corolla Altis G AT,50000,Petrol,Individual,Automatic,First Owner
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,80000,Diesel,Individual,Manual,First Owner
Jeep,Jeep Compass 1.4 Sport Plus BSIV,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz,Mercedes-Benz E-Class E 200 CGI Elegance,119000,Petrol,Dealer,Automatic,First Owner
Hyundai,Hyundai i10 Magna 1.1L,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW,BMW 3 Series 320d Sport Line,75800,Diesel,Dealer,Automatic,Second Owner
Audi,Audi Q7 35 TDI Quattro Premium,78000,Diesel,Dealer,Automatic,Third Owner
Hyundai,Hyundai Elantra CRDi S,40000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio 1.99 S10,50000,Diesel,Individual,Manual,First Owner
Honda,Honda City i DTEC V,74000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Wagon R VXI BS IV with ABS,64000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Wagon R VXI BS IV,60000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Scorpio LX,120000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Santro Xing GLS,79000,Petrol,Individual,Manual,Third Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,15000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LXi,80000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire VDI Optional,18500,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Eeco 5 Seater AC BSIV,10200,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai i20 Sportz 1.4 CRDi,29000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,28000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Swift ZDi BSIV,46000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,70000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Alto LXi,60000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Jeep CL 500 MDI,35000,Diesel,Individual,Manual,Second Owner
Honda,Honda City i DTEC VX,90000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Wagon R VXI BS IV,80000,Petrol,Dealer,Manual,First Owner
Tata,Tata Indica DLS,80000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,73300,Petrol,Dealer,Manual,Second Owner
Toyota,Toyota Etios GD,92000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Alto LXi,66764,Petrol,Dealer,Manual,Second Owner
Maruti,Maruti Alto LXi,100000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,350000,Diesel,Individual,Manual,Second Owner
Toyota,Toyota Corolla Altis Diesel D4DG,230000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio 1.99 S6 Plus,60000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,31000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo Classic Dicor,39000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Innova 2.5 V Diesel 8-seater,120000,Diesel,Individual,Manual,Third Owner
Tata,Tata Indica Vista Quadrajet LS,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,Maruti Swift 1.3 VXi,110000,Petrol,Individual,Manual,Third Owner
Ford,Ford EcoSport 1.5 Diesel Titanium BSIV,35000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ciaz 1.3 Delta,60000,Diesel,Individual,Manual,First Owner
Honda,Honda Civic 1.8 V AT,54000,Petrol,Individual,Automatic,Second Owner
Hyundai,Hyundai i10 Sportz 1.2,63000,Petrol,Individual,Manual,Second Owner
Skoda,Skoda Rapid 1.5 TDI Elegance,120000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Getz GLS,120000,Petrol,Individual,Manual,Third Owner
Nissan,Nissan Terrano XL,76000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Grand i10 CRDi Sportz,80000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Elite i20 Diesel Era,25000,Diesel,Individual,Manual,First Owner
Honda,Honda Amaze S i-VTEC,11958,Petrol,Dealer,Manual,First Owner
Honda,Honda Brio S MT,20000,Petrol,Dealer,Manual,First Owner
Hyundai,Hyundai Creta 1.6 SX Option,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz,Mercedes-Benz S-Class S 350d Connoisseurs Edition,6500,Diesel,Dealer,Automatic,First Owner
